Clase_actividad,Max_estrato_personas,Nombre,CP,Longitud,Latitud
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,50, CEDIS IZTAPALAPA DTS,09850,-99.09480797,19.32186437
COMERCIO AL POR MAYOR DE ABARROTES,50, SUPER ALVAREZ,03560,-95.81264331,17.83106902
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,03050 CEDIS CUAUTITLAN,54800,-99.17128405,19.65799978
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,03051 CEDIS LERMA PARK,52000,-99.55083404,19.29653763
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05001 BARCEL MARAVATIO,03560,-100.41075649,19.89669068
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05002 BARCEL CENTENO,08400,-99.10249256,19.40035330
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05003 BARCEL COACALCO,03560,-99.07570643,19.63782393
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05004 BARCEL CUAUTLA,03560,-98.91568560,18.79595949
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,50,05006 BARCEL CHILPANCINGO,03560,-99.47804330,17.51080393
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05007 BARCEL TLAPA,03560,-98.60759813,17.53844948
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,5,05012 BARCEL SENDERO AUTOSERVCIOS,66422,-100.31056084,25.76533233
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05013 BARCEL TENANCINGO,03560,-99.60686796,18.94733842
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05015 BARCEL CHILAPA,03560,-99.18379413,17.60039765
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05016 BARCEL TEPEJI DEL RIO,03560,-99.34077594,19.93423651
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05018 BARCEL VALLEJO,03560,-99.15095931,19.50651068
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05019 BARCEL JOJUTLA,03560,-99.19508880,18.60513726
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05020 BARCEL ALTAMIRANO,03560,-100.64979581,18.34082968
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05021 BARCEL ACAPULCO DIAMANTE,03560,-99.90970372,16.85600297
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,50,05024 BARCEL CUAUTITLAN,03560,-99.19641702,19.66670731
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05025 BARCEL CUERNAVACA,03560,-99.16936543,18.89789980
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,30,05026 BARCEL IGUALA,03560,-99.52951458,18.35299643
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05027 BARCEL IXTAPALUCA,03560,-98.88942726,19.29626808
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05028 BARCEL IZTAPALAPA,03560,-99.07673015,19.32018253
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,50,05030 BARCEL PINOTEPA NACIONAL,03560,-98.06477334,16.35580909
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,50,05031 BARCEL PUERTO ESCONDIDO,03560,-97.08362168,15.86918759
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05032 BARCEL SANTA CLARA,03560,-99.07339335,19.52584388
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05033 BARCEL MIXCOAC,03560,-99.19423211,19.38853284
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05034 BARCEL LOS REYES,03560,-98.98057645,19.35008482
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,100,05035 BARCEL TOLUCA 1,03560,-99.53683175,19.30856833
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,250,05036 BARCEL TOLUCA 2,03560,-99.73255817,19.29362385
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,10,05039 BARCEL ZINAPECUARO,03560,-100.81522948,19.87672603
COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,5,05041 BARCEL VALLE DE BRAVO,03560,-100.13340610,19.20253770
"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCELÁNEAS",5, ABARROTES,57730,-99.03284458,19.39607962
"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCELÁNEAS",5, ABARROTES,57730,-99.03284458,19.39607962
"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCELÁNEAS",5, ABARROTES SIN NOMBRE,30180,-91.29183636,16.14114769
"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCELÁNEAS",5, ABARROTES SIN NOMBRE,30450,-93.90056845,16.23436544
"COMERCIO AL POR MENOR EN TIENDAS DE ABARROTES, ULTRAMARINOS Y MISCELÁNEAS",5, ABARROTES SIN NOMBRE,57730,-99.03284458,19.39607962
COMERCIO AL POR MENOR DE OTROS ALIMENTOS,5, ANTOJITOS SIN NOMBRE,45230,-103.45327385,20.61857391
